,open,high,low,close,volume,trade_count,vwap
2021-10-29,1082.19,1115.21,1073.205,1114.0,29864077,762144,1095.79563
2021-11-01,1145.0,1209.75,1118.66,1208.59,56010148,1372235,1165.689666
2021-11-02,1160.0,1208.59,1146.0,1172.0,42736452,1230021,1176.790527
2021-11-03,1177.51,1215.39,1152.62,1213.86,34627774,880370,1185.131577
2021-11-04,1234.86,1243.49,1217.0,1229.91,25397588,764999,1233.460993
2021-11-05,1228.0,1239.87,1208.0,1222.09,21635366,608252,1227.28567
2021-11-08,1149.22,1197.0,1133.0,1162.94,33445230,1095712,1174.573866
2021-11-09,1173.22,1174.5,1011.52,1023.5,59429683,1825842,1067.562234
2021-11-10,1010.03,1078.1,987.31,1067.95,42795718,1324584,1049.177658
2021-11-11,1102.0,1104.97,1054.68,1063.51,22464822,686786,1072.83871
2021-11-12,1048.0,1054.5,1019.2,1033.42,25570317,776455,1033.064002
2021-11-15,1017.17,1031.98,978.6,1013.39,34769096,1250628,1000.271761
2021-11-16,1004.0,1057.1999,1002.18,1054.73,26571547,715774,1041.966174
2021-11-17,1063.51,1119.64,1055.5,1089.01,31441321,891661,1089.480259
2021-11-18,1106.1,1112.0,1075.02,1096.38,20890532,617966,1095.256151
2021-11-19,1100.0,1138.7199,1092.7,1137.06,21638108,589237,1117.566495
2021-11-22,1161.94,1201.95,1132.43,1156.87,33070331,968824,1174.93384
2021-11-23,1167.33,1180.4999,1062.7,1109.03,36154660,1031607,1114.212626
2021-11-24,1082.0,1132.77,1062.0,1116.0,22551731,644985,1109.232718
2021-11-26,1099.47,1108.7827,1081.0,1081.92,11674085,391680,1092.129253
2021-11-29,1100.34,1142.67,1100.19,1136.99,19459334,612090,1129.626184
2021-11-30,1144.48,1168.0,1118.0,1144.76,27058043,655634,1142.845938
2021-12-01,1160.0,1172.8399,1090.76,1095.0,22917497,711261,1136.102434
2021-12-02,1100.0,1113.0,1056.65,1084.6,24340702,727949,1084.561039
2021-12-03,1085.0,1090.5753,1000.21,1014.97,30770129,1043144,1028.746291
2021-12-06,1000.4,1021.64,950.5,1009.01,27217423,1013144,990.568269
2021-12-07,1044.34,1057.6739,1026.81,1051.75,18684405,536369,1044.685956
2021-12-08,1052.96,1072.38,1033.0001,1068.96,13962963,422043,1053.998551
2021-12-09,1060.64,1062.49,1002.36,1003.8,19804108,630496,1026.798413
2021-12-10,1008.75,1020.9797,982.53,1017.03,19878287,677356,1004.671768
2021-12-13,1001.09,1005.0,951.42,966.41,26047124,1046906,970.57807
2021-12-14,944.97,966.41,930.0,958.51,23619959,759104,946.184673
2021-12-15,953.21,978.7499,928.2501,975.99,25039957,764088,953.219373
2021-12-16,994.45,994.98,921.85,926.92,27592243,943036,947.421701
2021-12-17,915.0,960.6599,909.0401,932.57,33638159,732330,936.534322
2021-12-20,910.45,921.6884,893.39,899.94,18809798,697288,903.647239
2021-12-21,916.9,939.5,886.12,938.53,23831800,714130,916.124699
2021-12-22,965.64,1015.6599,957.05,1008.87,31207189,899893,993.8492
2021-12-23,1005.27,1072.9767,997.56,1067.0,30899815,913799,1045.860172
2021-12-27,1073.0,1117.0,1070.7152,1093.94,23726583,776804,1099.663656
2021-12-28,1108.74,1118.9999,1078.42,1088.47,20104573,611742,1093.39401
2021-12-29,1098.75,1104.0,1064.14,1086.19,18716238,538929,1084.736183
2021-12-30,1060.38,1095.55,1053.15,1070.34,15679773,493912,1077.500873
2021-12-31,1073.2,1081.9999,1054.59,1056.78,13581141,381242,1067.181286
2022-01-03,1148.54,1201.07,1136.04,1199.78,34891136,1162663,1170.753565
2022-01-04,1188.8,1208.0,1123.05,1149.59,33412834,1051349,1162.16493
2022-01-05,1146.5,1170.34,1081.0101,1088.12,26781140,811553,1126.599343
2022-01-06,1075.64,1088.0,1020.5,1064.7,30134340,880379,1060.305232
2022-01-07,1079.14,1080.9299,1010.0,1026.96,28048130,823208,1039.256763
2022-01-10,1000.0,1059.1,980.0,1058.12,30569421,970204,1017.299594
2022-01-11,1053.9,1075.85,1038.82,1064.4,22021089,644111,1060.483522
2022-01-12,1078.03,1114.84,1072.5901,1106.22,27903594,761281,1095.952253
2022-01-13,1109.91,1115.6,1026.5391,1031.56,32654822,923636,1068.343775
2022-01-14,1019.84,1052.0,1013.3788,1049.61,24298971,709972,1035.147281
2022-01-18,1026.75,1070.7899,1016.06,1030.51,22317537,662348,1042.160362
2022-01-19,1041.3,1054.6699,995.0,995.65,25129165,827617,1015.369728
2022-01-20,1009.86,1041.66,994.0,996.27,23460122,711282,1018.912473
2022-01-21,996.7,1004.55,940.5,943.9,34421943,1144270,963.823595
2022-01-24,905.0,933.5131,851.47,930.0,50731525,1594360,887.817409
2022-01-25,914.19,951.26,903.21,918.4,28844795,817931,921.830866
2022-01-26,952.11,987.69,906.0,937.41,34889816,1097413,946.778927
2022-01-27,933.56,935.39,829.0,829.1,48923227,1857318,867.13994
2022-01-28,831.76,857.5,792.01,846.35,44898963,1443635,830.392858
2022-01-31,872.82,937.99,862.05,936.72,34793399,1018293,913.362536
2022-02-01,934.12,943.7,905.0,931.25,24355050,755053,927.181145
2022-02-02,928.04,931.5,889.41,905.66,22250600,715859,909.282386
2022-02-03,882.0,937.0,880.52,891.14,26254053,766207,909.306126
2022-02-04,896.77,936.5,881.17,923.32,24515573,682196,914.55155
2022-02-07,923.32,947.77,902.7089,907.34,20322878,640097,922.0562
2022-02-08,906.19,926.2899,894.8,922.0,16888890,512325,914.811372
2022-02-09,934.04,946.2699,920.0,932.0,17202339,498874,932.882236
2022-02-10,907.5,943.81,896.7,904.55,21516725,670774,921.051446
2022-02-11,909.47,915.96,850.7,860.0,25741243,918437,879.738012
2022-02-14,861.82,898.8799,853.15,875.76,22046805,677843,875.393559
2022-02-15,900.0,923.0,893.3774,922.43,18920950,584237,914.426088
