,High,Low,Mid,Last,Bid,Ask,Volume
2021-10-27,61450.0,57950.0,58518.0,58517.0,58517.0,58519.0,7184.5922646
2021-10-28,62444.0,57606.0,60599.5,60600.0,60599.0,60600.0,7949.43841657
2021-10-29,62980.0,60188.0,62292.5,62295.0,62292.0,62293.0,4041.75045031
2021-10-30,62409.0,60755.0,61407.5,61408.0,61407.0,61408.0,2185.60669702
2021-10-31,62415.0,60005.0,61407.5,61412.39772732,61403.0,61412.0,2442.14622415
2021-11-01,62491.21298363,59522.0,61138.5,61140.0,61138.0,61139.0,4828.33061599
2021-11-02,64313.0,60661.0,63033.5,63034.0,63033.0,63034.0,5003.41395805
2021-11-03,63565.0,60175.0,62859.5,62859.0,62859.0,62860.0,4893.99784713
2021-11-04,63070.60120625,60700.0,61217.5,61218.0,61217.0,61218.0,2885.71528678
2021-11-05,62600.0,60735.0,61146.5,61148.05384448,61146.0,61147.0,2313.03891569
2021-11-06,61583.0,60100.0,61379.0,61378.0,61376.0,61382.0,2910.76264537
2021-11-07,63079.0,61302.0,62912.5,62912.13422982,62912.0,62913.0,3167.92588218
2021-11-08,67665.0,63277.0,67522.5,67524.0,67522.0,67523.0,8941.35561727
2021-11-09,68444.0,66326.0,67011.5,67011.0,67011.0,67012.0,6332.69845538
2021-11-10,68958.0,62866.0,64752.5,64761.0,64751.0,64754.0,12199.75727214
2021-11-11,65541.0,64079.0,64865.5,64861.0,64865.0,64866.0,2828.86386363
2021-11-12,65421.0,62255.0,64027.5,64027.43218356,64027.0,64028.0,5086.91330039
2021-11-13,64988.98628182,63405.0,64512.5,64511.0,64511.0,64514.0,1851.3568428400001
2021-11-14,65311.0,63564.0,65148.5,65147.0,65147.0,65150.0,2062.90260859
2021-11-15,66343.87555372,63351.0,63724.0,63711.0,63718.0,63730.0,5227.23795928
2021-11-16,63561.99202931,58625.68734157,60192.5,60189.0,60192.0,60193.0,12996.95355896
2021-11-17,60851.0,58368.0,60308.5,60308.07122152,60308.0,60309.0,6694.19863862
2021-11-18,60945.0,56555.0,56895.5,56895.0,56895.0,56896.0,11508.71358305
2021-11-19,58379.0,55653.0,58016.5,58020.0,58015.0,58018.0,5174.32301026
2021-11-20,59874.0,57450.0,59868.5,59865.0,59868.0,59869.0,3084.70846086
2021-11-21,60050.0,58603.0,59011.5,59015.0,59008.0,59015.0,2360.95645452
2021-11-22,59456.0,55714.0,56426.5,56427.0,56426.0,56427.0,8809.15596413
2021-11-23,57869.0,55453.0,57704.0,57693.0,57702.0,57706.0,8545.77946537
2021-11-24,57762.0,55894.51623388,57200.5,57200.0,57200.0,57201.0,4884.38044831
2021-11-25,59423.42625193,57067.0,58968.5,58970.0,58966.0,58971.0,3975.7687449
2021-11-26,59238.0,53555.0,53831.5,53831.0,53831.0,53832.0,12104.13150826
2021-11-27,55329.0,53711.0,54450.5,54442.0,54450.0,54451.0,3062.51384455
2021-11-28,57469.0,53458.0,57190.5,57186.0,57190.0,57191.0,4892.48825941
2021-11-29,58888.0,56764.0,57814.5,57815.40320895,57814.0,57815.0,5054.61927536
2021-11-30,59174.0,55899.0,56920.5,56916.0,56920.0,56921.0,6453.4188989
2021-12-01,59055.0,56505.0,57148.5,57141.0,57148.0,57149.0,5175.51880866
2021-12-02,57390.0,55842.0,56553.5,56552.0,56553.0,56554.0,4387.99524572
2021-12-03,57599.0,51333.0,53810.0,53812.0,53809.0,53811.0,10670.92188792
2021-12-04,53879.0,41634.0,49031.0,49009.0,49030.0,49032.0,22436.10554017
2021-12-05,49769.0,47860.0,49228.0,49229.0,49227.0,49229.0,4777.64251965
2021-12-06,50988.0,47167.0,50356.5,50356.0,50356.0,50357.0,8032.96931845
2021-12-07,51970.0,50095.0,50612.5,50613.0,50612.0,50613.0,3900.63334584
2021-12-08,51275.0,48726.0,50432.5,50431.0,50432.0,50433.0,4024.50424855
2021-12-09,50844.0,47408.0,47985.5,47987.0,47984.0,47987.0,5223.36037746
2021-12-10,50212.0,47337.0,47562.0,47575.0,47557.0,47567.0,7495.85028858
2021-12-11,49522.0,46872.0,49178.5,49179.0,49178.0,49179.0,5262.65622291
2021-12-12,50800.0,48690.0,50073.5,50055.69257698,50073.0,50074.0,3851.1077310699998
2021-12-13,50234.0,45788.0,46778.5,46786.0,46778.0,46779.0,8694.0740122
2021-12-14,48684.0,46356.20997454,48257.0,48244.0,48256.0,48258.0,5433.2827704
2021-12-15,49520.0,46600.0,48781.5,48782.0,48781.0,48782.0,6962.66587972
2021-12-16,49480.0,47543.0,47701.5,47703.82693622,47699.0,47704.0,3517.08063582
2021-12-17,48038.0,45539.0,46323.5,46320.24546699,46320.0,46327.0,5840.5251138
2021-12-18,47483.0,45523.0,46973.5,46983.0,46973.0,46974.0,3718.06782045
2021-12-19,48364.0,46458.0,46882.5,46901.0,46882.0,46883.0,5192.32277526
2021-12-20,47541.0,45600.0,46979.5,46980.0,46979.0,46980.0,5630.73638664
2021-12-21,49369.0,46683.0,49072.5,49074.0,49072.0,49073.0,4642.71881023
2021-12-22,49588.0,48459.75038112,48633.5,48634.0,48633.0,48634.0,3139.38550771
2021-12-23,51413.12295813,48078.0,50728.5,50733.0,50728.0,50729.0,4422.49688016
